"id","designation"
"1","SENIOR DEALER"
"2","TRAINEE DEALER"
"3","DEALER INSPECTOR"
"4","DEALER"
"5","STEWARDESS"
"6","FRONT OFFICE ASSOCIATE"
"7","TRAINEE FRONT OFFICE ASSOCIATE"
"8","INSPECTOR"
"9","SENIOR STEWARDESS"
"10","SENIOR INSPECTOR"
"11","CASHIER"
"12","OJT"
"13","TRAINEE CASHIER"
"14","TRAINEE CAPTAIN"
"15","SENIOR DELTIN SELECT ASSOCIATE"
"16","TRAINEE WE CARE"
"17","TRAINEE"
"18","CASHIER SUPERVISOR"
"19","SENIOR CASHIER"
"20","TRAINEE CONCEIRGE"
"21","COMMI III"
"22","ADMINISTRATION EXECUTIVE"
"23","SENIOR ADMINISTRATION EXECUTIVE"
"24","SPA EXECUTIVE"
"25","VIP SERVICES ASSOCIATE"
"26","CAPTAIN"
"27","STEWARD"
"28","SENIOR CAPTAIN"
"29","SENIOR STEWARD"
"30","COMMI I"
"31","CDP"
"32","COMMI II"
"33","SENIOR CDP"
"34","DCDP"
"35","SENIOR KST SUPERVISOR"
"36","KST EXECUTIVE"
"37","SENIOR BARTENDER"
"38","TRAINEE VIP ASSOCIATE"
"39","BARTENDER"
"40","SENIOR SOUS CHEF"
"41","KST SUPERVISOR"
"42","PIT MANAGER"
"43","ASSISTANT PIT MANAGER"
"44","ENGINEERING ASSOCIATE"
"45","ENGINEERING ASSOCIATE - ELECTRICAL"
"46","JUNIOR SOUS CHEF"
"47","TRAINEE KST SUPERVISOR"
"48","DRIVER"
"49","KITCHEN STEWARDING SUPERVISOR"
"50","KITCHEN STEWARD"
"51","ENGINEERING ASSOCIATE ELECTRICAL"
"52","JUNIOR IT EXECUTIVE"
"53","SENIOR FRONT OFFICE ASSOCIATE"
"54","SENIOR ASSOCIATE WE CARE"
"55","HOUSEKEEPING ATTENDANT"
"56","FLOOR SUPERVISOR"
"57","SENIOR SECURITY SUPERVISOR"
"58","SENIOR FLOOR SUPERVISOR"
"59","BUSINESS DEVELOPMENT ASSOCIATE"
"60","SENIOR HOUSEKEEPING ATTENDANT"
"61","TRAINEE SLOT TECHNICIAN"
"62","SUPERADMIN"
"63","NA"
