"acc_id","id","room_no","room_capacity","status","current_room_occupancy"
"1","1","AF1","6","ACTIVE","4"
"1","2","AF2","6","ACTIVE","6"
"1","3","AG1","6","ACTIVE","5"
"1","4","AG2","6","ACTIVE","6"
"1","5","AS1","6","ACTIVE","5"
"1","6","AS2","6","ACTIVE","0"
"1","7","BF1","6","ACTIVE","5"
"1","8","BF2","6","ACTIVE","6"
"1","9","BG1","6","ACTIVE","6"
"1","10","BG2","6","ACTIVE","4"
"1","11","BS1","6","ACTIVE","5"
"1","12","BS2","6","ACTIVE","5"
"1","13","CF1","6","ACTIVE","6"
"1","14","CF2","6","ACTIVE","6"
"1","15","CG1","6","ACTIVE","5"
"1","16","CG2","6","ACTIVE","6"
"1","17","CS1","5","ACTIVE","5"
"1","18","CS2","6","ACTIVE","6"
"1","19","DG1","6","ACTIVE","4"
"1","20","DG2","6","ACTIVE","5"
"1","21","DF1","4","ACTIVE","4"
"1","22","DF2","5","ACTIVE","5"
"1","23","DS1","6","ACTIVE","4"
"1","24","DS2","6","ACTIVE","4"
"1","25","EF1","6","ACTIVE","6"
"1","26","EF2","6","ACTIVE","6"
"1","27","EG1","6","ACTIVE","4"
"1","28","EG2","6","ACTIVE","6"
"1","29","ES1","3","ACTIVE","3"
"1","30","ES2","6","ACTIVE","6"
"1","31","FF1","6","ACTIVE","6"
"1","32","FF2","3","ACTIVE","3"
"1","33","FG1","6","ACTIVE","6"
"1","34","FG2","2","ACTIVE","2"
"1","35","FS1","6","ACTIVE","6"
"1","36","FS2","3","ACTIVE","3"
"1","37","GF1","6","ACTIVE","6"
"1","38","GF2","6","ACTIVE","6"
"1","39","GG1","6","ACTIVE","6"
"1","40","GG2","5","ACTIVE","5"
"1","41","GS1","6","ACTIVE","6"
"1","42","GS2","6","ACTIVE","6"
"1","43","HS1","2","ACTIVE","2"
"1","44","HS2","4","ACTIVE","4"
"1","45","HF1","6","ACTIVE","6"
"1","46","HF2","6","ACTIVE","6"
"1","47","HG1","6","ACTIVE","6"
"1","48","HG2","6","ACTIVE","6"
"2","49","F1","14","ACTIVE","7"
"2","50","F2","14","ACTIVE","8"
"2","51","G1","14","ACTIVE","9"
"2","52","G2","14","ACTIVE","6"
"3","53","21","5","ACTIVE","5"
"3","54","22","5","ACTIVE","5"
"3","55","23","5","ACTIVE","5"
"3","56","31","5","ACTIVE","5"
"3","57","34","5","ACTIVE","5"
"3","58","41","5","ACTIVE","4"
"3","59","42","5","ACTIVE","5"
"3","60","51","5","ACTIVE","4"
"3","61","52","5","ACTIVE","5"
"3","62","53","5","ACTIVE","5"
"3","63","54","5","ACTIVE","5"
"3","64","55","5","ACTIVE","5"
"4","65","A","3","ACTIVE","3"
"4","66","A1","3","ACTIVE","3"
"4","67","B","3","ACTIVE","2"
"4","68","B2","3","ACTIVE","2"
"4","69","C","3","ACTIVE","0"
